input,target,dificultad,nivel
"### Instrucción:
¿Cuál es el resultado de la columna Participación en la sección 2904301002 en la elección Abril 2019?

### Contexto:
Datos de 2904301002 en Abril 2019: 1 secciones electorales

### Respuesta:",El resultado de la columna Participación de la sección 2904301002 en la elección Abril 2019 es 0.68108106,1,nivel1
"### Instrucción:
¿Cuál fue la renta de salarios 2018 en la sección 2807912078 en las elecciones de Abril 2019?

### Contexto:
Datos de 2807912078 en Abril 2019: 1 secciones electorales

### Respuesta:",La renta de salarios 2018 en la sección 2807912078 en las elecciones de Abril 2019 fue de 6747.0.,1,nivel1
"### Instrucción:
¿Cuál es el resultado de la columna Paro Registrado Municipio en la sección 0826601038 en la elección Diciembre 2015?

### Contexto:
Datos de 0826601038 en Diciembre 2015: 1 secciones electorales

### Respuesta:",El resultado de la columna Paro Registrado Municipio de la sección 0826601038 en la elección Diciembre 2015 es 4520.0,1,nivel1
"### Instrucción:
¿En qué municipio de Álava fue mayor % IU en Noviembre 2019: Leza o Lantarón?

### Contexto:
Año: Noviembre 2019, Variable: % IU

### Respuesta:","En Noviembre 2019, % IU fue mayor en Lantarón. Valores: Leza: 0.00%, Lantarón: 0.00%. Diferencia: 0.00 puntos.",2,nivel2
"### Instrucción:
¿Cuál es el resultado de la columna Municipio en la sección 0301403027 en la elección Noviembre 2019?

### Contexto:
Datos de 0301403027 en Noviembre 2019: 1 secciones electorales

### Respuesta:",El resultado de la columna Municipio de la sección 0301403027 en la elección Noviembre 2019 es Alicante / Alacant,1,nivel1
"### Instrucción:
¿Cuál fue el % PP mediano en el municipio de Alfoz De Santa Gadea en Diciembre 2015?

### Contexto:
Año: Diciembre 2015, Ámbito: municipio, Variable: % PP

### Respuesta:",El % PP mediano en el municipio de Alfoz De Santa Gadea en Diciembre 2015 fue de 39.39%.,2,nivel2
"### Instrucción:
¿Cuántos votos consiguió el PP en la seccion 4013801001 en las elecciones de Junio 2016?

### Contexto:
Datos de 4013801001 en Junio 2016: 1 secciones electorales

### Respuesta:",El PP en la sección 4013801001 en las elecciones de Junio 2016 obtuvo 296 votos.,1,nivel1
"### Instrucción:
¿Cuál fue el Participación promedio en la comunidad de País Vasco en Noviembre 2011?

### Contexto:
Año: Noviembre 2011, Ámbito: comunidad, Variable: Participación

### Respuesta:",El Participación promedio en la comunidad de País Vasco en Noviembre 2011 fue de 69.21%.,2,nivel2
"### Instrucción:
¿Cuál es el tamaño del censo y la población total de la sección 2811302010 en la elección Abril 2019?

### Contexto:
Datos de 2811302010 en Abril 2019: 1 secciones electorales

### Respuesta:",El censo en la sección 2811302010 en la elección de Abril 2019 fue de 1146 habitantes y la población total fue de 1653.,1,nivel1
"### Instrucción:
¿Cúal fue la participación en la sección 3727406017 en la elección Diciembre 2015 y que porcentaje obtuvo el PP?

### Contexto:
Datos de 3727406017 en Diciembre 2015: 1 secciones electorales

### Respuesta:",La participación en la sección 3727406017 en la elección Diciembre 2015 fue del 79.70% y el PP obtuvo un porcentaje del 44.30%.,1,nivel1
"### Instrucción:
¿Cuántos votos consiguió el PP en la seccion 2512201002 en las elecciones de Noviembre 2011?

### Contexto:
Datos de 2512201002 en Noviembre 2011: 1 secciones electorales

### Respuesta:",El PP en la sección 2512201002 en las elecciones de Noviembre 2011 obtuvo 119 votos.,1,nivel1
"### Instrucción:
¿Cómo evolucionó el porcentaje de voto a Cs en Retamal De Llerena entre Noviembre 2019 y Abril 2019?

### Contexto:
Municipio: Retamal De Llerena, Partido: Cs, Años: Noviembre 2019 y Abril 2019

### Respuesta:",El Cs en Retamal De Llerena pasó de 6.14% en Noviembre 2019 a 12.87% en Abril 2019. Esto representa un incremento de 6.73 puntos porcentuales (109.6% más).,2,nivel2
"### Instrucción:
¿Qué porcentaje de afiliados de SS hubo en la seccion 2906709042 en las elecciones de Noviembre 2011?

### Contexto:
Datos de 2906709042 en Noviembre 2011: 1 secciones electorales

### Respuesta:",El porcentaje de afiliados de SS en la sección 2906709042 en las elecciones de Noviembre 2011 fue del 30263.14%.,1,nivel1
"### Instrucción:
¿Qué diferencia hay entre Cs y VOX en la provincia de Ávila en Diciembre 2015?

### Contexto:
Año: Diciembre 2015, Partidos: Cs y VOX, Ámbito: provincia

### Respuesta:","En la elección de Diciembre 2015 en la provincia de Ávila, el partido Cs obtuvo el 12.51%, y el partido VOX obtuvo el 0.27%. La diferencia es de 12.23 puntos porcentuales a favor de Cs.",2,nivel2
"### Instrucción:
Considerando los datos de los municipios de la provincia de Sevilla, ¿qué patrones geográficos y socioeconómicos se pueden identificar en la distribución del voto entre el PP y el PSOE, y cómo se correlacionan estos con la renta personal media y la participación electoral?

### Contexto:
Análisis complejo basado en datos electorales y socioeconómicos

### Respuesta:","El análisis de los datos revela dos patrones geográficos y socioeconómicos claros en la distribución del voto en la provincia de Sevilla. 1. **Patrón de Voto y Renta:** *   **Municipios con mayor renta y voto al PP:** Mairena del Aljarafe (Renta persona: 11803€, %PP: 0.4) y el distrito de Sevilla con renta más alta (Renta: 15359€, %PP: 0.3) muestran los apoyos más sólidos al PP, que superan o igualan su media provincial (μ=0.2). Existe una correlación positiva entre renta personal alta y voto al PP. *   **Municipios con menor renta y dominio del PSOE:** En el extremo opuesto, el distrito de Sevilla con menor renta (6314€) presenta un apoyo abrumador al PSOE (0.7), muy por encima de su media (μ=0.4). Fuentes de Andalucía (7487€, %PSOE: 0.6) y otro distrito sevillano (7861€, %PSOE: 0.5) refuerzan este patrón de correlación negativa entre renta baja y alto voto al PSOE. *   **Zonas de competencia y renta media:** Municipios como Dos Hermanas (Renta: 13921€ y 7687€) y Alcalá de Guadaíra (8244€) presentan rentas cercanas a la media provincial (μ=9836.6€) y resultados más equilibrados o fragmentados entre PP, PSOE y UP, indicando una mayor competitividad en segmentos socioeconómicos intermedios. 2. **Patrón Geográfico y Participación:** *   **Alta participación en municipios del Aljarafe y corona metropolitana:** Mairena del Aljarafe, Castilleja de la Cuesta y Dos Hermanas (en uno de sus datos) registran la participación más alta (0.8), coincidiendo con zonas de renta media-alta y alta fragmentación política (presencia de Cs y VOX). *   **Participación moderada-baja en distritos urbanos de Sevilla y municipios más pequeños:** Varios distritos de Sevilla y Alcalá de Guadaíra muestran una participación de 0.7, y un dato de Dos Hermanas registra 0.6 (la más baja). No se observa una correlación lineal clara entre participación y renta, pero sí parece más baja en contextos urbanos con menor competencia (donde el PSOE supera el 50%). **Factores Explicativos Contextuales:** El patrón refleja la tradicional división sociológica del voto en España, donde el PP tiene mayor penetración en áreas de mayor capacidad económica. La fortaleza del PSOE en áreas de renta baja y en el núcleo urbano de Sevilla es consistente con su base electoral histórica. La aparición de resultados fragmentados (con VOX, Cs y UP) en municipios de renta media y con alta participación sugiere que estos son espacios de mayor volatilidad y competencia multipartidista. **Implicaciones:** Estos patrones indican que la competencia política en la provincia de Sevilla está fuertemente segmentada socioeconómicamente. Para el PSOE, el reto es mantener su hegemonía en zonas de renta baja. Para el PP y formaciones emergentes, la oportunidad se encuentra en los municipios de la corona metropolitana y áreas de renta media, donde el electorado es más volátil y la participación, más alta. Una proyección de estos datos sugeriría que los cambios en la distribución de la renta podrían alterar estos patrones de voto consolidados.",3,nivel3
"### Instrucción:
¿Cuál es el tamaño del censo y la población total de la sección 4520301002 en la elección Noviembre 2011?

### Contexto:
Datos de 4520301002 en Noviembre 2011: 1 secciones electorales

### Respuesta:",El censo en la sección 4520301002 en la elección de Noviembre 2011 fue de 1543 habitantes y la población total fue de 2254.,1,nivel1
"### Instrucción:
¿Qué partido quedó en segundo lugar en la seccion 2908402008 en las elecciones de Noviembre 2019?

### Contexto:
Datos de 2908402008 en Noviembre 2019: 1 secciones electorales

### Respuesta:",El segundo lugar en la sección 2908402008 en las elecciones de Noviembre 2019 fue el partido PSOE.,1,nivel1
"### Instrucción:
¿Cuál fue la participación electoral en la sección 2408903019 en las elecciones de Noviembre 2019?

### Contexto:
Datos de 2408903019 en Noviembre 2019: 1 secciones electorales

### Respuesta:",La participación electoral en la sección 2408903019 en las elecciones de Noviembre 2019 la participación fue del 77.89%.,1,nivel1
